1	Then Job answered the LORD, and said:
Psalm 90:5	Thou carriest them away as with a flood; they are as a sleep; In the morning they are like grass which groweth up.
Psalm 90:6	In the morning it flourisheth, and groweth up; In the evening it is cut down, and withereth.
Psalm 90:7	For we are consumed in Thine anger, And by Thy wrath are we hurried away.
Psalm 90:8	Thou hast set our iniquities before Thee, Our secret sins in the light of Thy countenance.
Psalm 90:9	For all our days are passed away in Thy wrath; We bring our years to an end as a tale that is told.
Psalm 90:10	The days of our years are threescore years and ten, Or even by reason of strength fourscore years; Yet is their pride but travail and vanity; For it is speedily gone, and we fly away.
Psalm 90:11	Who knoweth the power of Thine anger, And Thy wrath according to the fear that is due unto Thee?
Psalm 90:12	So teach us to number our days, That we may get us a heart of wisdom.
Psalm 90:13	Return, O LORD; how long? And let it repent Thee concerning Thy servants.
Psalm 90:14	O satisfy us in the morning with Thy mercy; That we may rejoice and be glad all our days.
Psalm 90:15	Make us glad according to the days wherein Thou hast afflicted us, According to the years wherein we have seen evil.
Psalm 90:16	Let Thy work appear unto Thy servants, And Thy glory upon their children.
Psalm 90:17	And let the graciousness of the Lord our God be upon us; Establish Thou also upon us the work of our hands; Yea, the work of our hands establish Thou it.
Psalm 91:1	O thou that dwellest in the covert of the Most High, And abidest in the shadow of the Almighty;
Psalm 91:2	I will say of the LORD, who is my refuge and my fortress, My God, in whom I trust,
Psalm 91:3	That He will deliver thee from the snare of the fowler, And from the noisome pestilence.
Psalm 91:4	He will cover thee with His pinions, And under His wings shalt thou take refuge; His truth is a shield and a buckler.
Psalm 91:5	Thou shalt not be afraid of the terror by night, Nor of the arrow that flieth by day;
Psalm 91:6	Of the pestilence that walketh in darkness, Nor of the destruction that wasteth at noonday.
Psalm 91:7	A thousand may fall at Thy side, And ten thousand at Thy right hand; It shall not come nigh thee.
Psalm 91:8	Only with thine eyes shalt thou behold, And see the recompense of the wicked.
Psalm 91:9	For thou hast made the LORD who is my refuge, Even the Most High, thy habitation.
Psalm 91:10	There shall no evil befall thee, Neither shall any plague come nigh thy tent.
Psalm 91:11	For He will give His angels charge over thee, To keep thee in all thy ways.
Psalm 91:12	They shall bear thee upon their hands, Lest thou dash thy foot against a stone.
Psalm 91:13	Thou shalt tread upon the lion and asp; The young lion and the serpent shalt thou trample under feet.
Psalm 91:14	Because he hath set his love upon Me, therefore will I deliver him; I will set him on high, because he hath known My name.
Psalm 91:15	He shall call upon Me, and I will answer him; I will be with him in trouble; I will rescue him, and bring him to honour.
Psalm 91:16	With long life will I satisfy him, And make Him to behold My salvation.’
Psalm 92:1	A Psalm, a Song. For the sabbath day. It is a good thing to give thanks unto the LORD, And to sing praises unto Thy name, O Most High;
Psalm 92:2	To declare Thy lovingkindness in the morning, And Thy faithfulness in the night seasons,
Psalm 92:3	With an instrument of ten strings, and with the psaltery; With a solemn sound upon the harp.
Psalm 92:4	For Thou, LORD, hast made me glad through Thy work; I will exult in the works of Thy hands.
Psalm 92:5	How great are Thy works, O LORD! Thy thoughts are very deep.
Psalm 92:6	A brutish man knoweth not, Neither doth a fool understand this.
Psalm 92:7	When the wicked spring up as the grass, And when all the workers of iniquity do flourish; It is that they may be destroyed for ever.
Psalm 92:8	But Thou, O LORD, art on high for evermore.
Psalm 92:9	For, lo, Thine enemies, O LORD, For, lo, Thine enemies shall perish: All the workers of iniquity shall be scattered.
Psalm 92:10	But my horn hast Thou exalted like the horn of the wild-ox; I am anointed with rich oil.
Psalm 92:11	Mine eye also hath gazed on them that lie in wait for me, Mine ears have heard my desire of the evil-doers that rise up against me.
Psalm 92:12	The righteous shall flourish like the palm-tree; He shall grow like a cedar in Lebanon.
Psalm 92:13	Planted in the house of the LORD, They shall flourish in the courts of our God.
Psalm 92:14	They shall still bring forth fruit in old age; They shall be full of sap and richness;
Psalm 92:15	To declare that the LORD is upright, My Rock, in whom there is no unrighteousness.
Psalm 93:1	The LORD reigneth; He is clothed in majesty; The LORD is clothed, He hath girded Himself with strength; Yea, the world is established, that it cannot be moved.
Psalm 93:2	Thy throne is established of old; Thou art from everlasting.
Psalm 93:3	The floods have lifted up, O LORD, The floods have lifted up their voice; The floods lift up their roaring.
Psalm 93:4	Above the voices of many waters, The mighty breakers of the sea, The LORD on high is mighty.
Psalm 93:5	Thy testimonies are very sure, Holiness becometh Thy house, O LORD, for evermore.
Psalm 94:1	O LORD, Thou God to whom vengeance belongeth, Thou God to whom vengeance belongeth, shine forth.
Psalm 94:2	Lift up Thyself, Thou Judge of the earth; Render to the proud their recompense.
Psalm 94:3	LORD, how long shall the wicked, How long shall the wicked exult?
Psalm 94:4	They gush out, they speak arrogancy; All the workers of iniquity bear themselves loftily.
Psalm 94:5	They crush Thy people, O LORD, And afflict Thy heritage.
Psalm 94:6	They slay the widow and the stranger, And murder the fatherless.
Psalm 94:7	And they say: ‘The LORD will not see, Neither will the God of Jacob give heed.’
Psalm 94:8	Consider, ye brutish among the people; And ye fools, when will ye understand?
Psalm 94:9	He that planted the ear, shall He not hear? He that formed the eye, shall He not see?
Psalm 94:10	He that instructeth nations, shall not He correct? Even He that teacheth man knowledge?
Psalm 94:11	The LORD knoweth the thoughts of man, That they are vanity.
Psalm 94:12	Happy is the man whom Thou instructest, O LORD, And teachest out of Thy law;
Psalm 94:13	That Thou mayest give him rest from the days of evil, Until the pit be digged for the wicked.
Psalm 94:14	For the LORD will not cast off His people, Neither will He forsake His inheritance.
Psalm 94:15	For right shall return unto justice, And all the upright in heart shall follow it.
Psalm 94:16	Who will rise up for me against the evil-doers? Who will stand up for me against the workers of iniquity?
Psalm 94:17	Unless the LORD had been my help, My soul had soon dwelt in silence.
Psalm 94:18	If I say: ‘My foot slippeth’, Thy mercy, O LORD, holdeth me up.
Psalm 94:19	When my cares are many within me, Thy comforts delight my soul.
Psalm 94:20	Shall the seat of wickedness have fellowship with Thee, Which frameth mischief by statute?
Psalm 94:21	They gather themselves together against the soul of the righteous, And condemn innocent blood.
Psalm 94:22	But the LORD hath been my high tower, And my God the rock of my refuge.
Psalm 94:23	And He hath brought upon them their own iniquity, And will cut them off in their own evil; The LORD our God will cut them off.
Psalm 95:1	O come, let us sing unto the LORD; Let us shout for joy to the Rock of our salvation.
Psalm 95:2	Let us come before His presence with thanksgiving, Let us shout for joy unto Him with psalms.
Psalm 95:3	For the LORD is a great God, And a great King above all gods;
Psalm 95:4	In whose hand are the depths of the earth; The heights of the mountains are His also.
Psalm 95:5	The sea is His, and He made it; And His hands formed the dry land.
Psalm 95:6	O come, let us bow down and bend the knee; Let us kneel before the LORD our Maker;
Psalm 95:7	For He is our God, And we are the people of His pasture, and the flock of His hand. To-day, if ye would but hearken to His voice!
Psalm 95:8	Harden not your heart, as at Meribah, As in the day of Massah in the wilderness;
Psalm 95:9	When your fathers tried Me, Proved Me, even though they saw My work.
Psalm 95:10	For forty years was I wearied with that generation, And said: It is a people that do err in their heart, And they have not known My ways;
Psalm 95:11	Wherefore I swore in My wrath, That they should not enter into My rest.’
Psalm 96:1	O sing unto the LORD a new song; Sing unto the LORD, all the earth.
Psalm 96:2	Sing unto the LORD, bless His name; Proclaim His salvation from day to day.
Psalm 96:3	Declare His glory among the nations, His marvellous works among all the peoples.
Psalm 96:4	For great is the LORD, and highly to be praised; He is to be feared above all gods.
Psalm 96:5	For all the gods of the peoples are things of nought; But the LORD made the heavens.
Psalm 96:6	Honour and majesty are before Him; Strength and beauty are in His sanctuary.
Psalm 96:7	Ascribe unto the LORD, ye kindreds of the peoples, Ascribe unto the LORD glory and strength.
Psalm 96:8	Ascribe unto the LORD the glory due unto His name; Bring an offering, and come into His courts.
Psalm 96:9	O worship the LORD in the beauty of holiness; Tremble before Him, all the earth.
Psalm 96:10	Say among the nations: ‘The LORD reigneth.’ The world also is established that it cannot be moved; He will judge the peoples with equity.
Psalm 96:11	Let the heavens be glad, and let the earth rejoice; Let the sea roar, and the fulness thereof;
Psalm 96:12	Let the field exult; and all that is therein; Then shall all the trees of the wood sing for joy;
Psalm 96:13	Before the LORD, for He is come; For He is come to judge the earth; He will judge the world with righteousness, And the peoples in His faithfulness.
Psalm 97:1	The LORD reigneth; let the earth rejoice; Let the multitude of isles be glad.
Psalm 97:2	Clouds and darkness are round about Him; Righteousness and justice are the foundation of His throne.
Psalm 97:3	A fire goeth before Him, And burneth up His adversaries round about.
Psalm 97:4	His lightnings lighted up the world; The earth saw, and trembled.
Psalm 97:5	The mountains melted like wax at the presence of the LORD, At the presence of the Lord of the whole earth.
Psalm 97:6	The heavens declared His righteousness, And all the peoples saw His glory.
Psalm 97:7	Ashamed be all they that serve graven images, That boast themselves of things of nought; Bow down to Him, all ye gods.
Psalm 97:8	Zion heard and was glad, And the daughters of Judah rejoiced; Because of Thy judgments, O LORD.
Psalm 97:9	For Thou, LORD, art most high above all the earth; Thou art exalted far above all gods.
Psalm 97:10	O ye that love the LORD, hate evil; He preserveth the souls of His saints; He delivered them out of the hand of the wicked.
Psalm 97:11	Light is sown for the righteous, And gladness for the upright in heart.
Psalm 97:12	Be glad in the LORD, ye righteous; And give thanks to His holy name.
