1	And Job answereth Jehovah and saith:—
Psalm 51:17	The sacrifices of God are a broken spirit, A heart broken and bruised, O God, Thou dost not despise.
Psalm 51:18	Do good in Thy good pleasure with Zion, Thou dost build the walls of Jerusalem.
Psalm 51:19	Then Thou desirest sacrifices of righteousness, Burnt-offering, and whole burnt-offering, Then they offer bullocks on thine altar!
Psalm 52:1	To the Overseer.—An instruction, by David, in the coming in of Doeg the Edomite, and he declareth to Saul, and saith to him, ‘David came in unto the house of Ahimelech.’ What, boasteth thou in evil, O mighty one? The kindness of God is all the day.
Psalm 52:2	Mischiefs doth thy tongue devise, Like a sharp razor, working deceit.
Psalm 52:3	Thou hast loved evil rather than good, Lying, than speaking righteousness. Selah.
Psalm 52:4	Thou hast loved all devouring words, O thou deceitful tongue.
Psalm 52:5	Also—God doth break thee down for ever, Taketh thee, and pulleth thee out of the tent, And He hath uprooted thee Out of the land of the living. Selah.
Psalm 52:6	And the righteous see, And fear, and laugh at him.
Psalm 52:7	‘Lo, the man who maketh not God his strong place, And trusteth in the abundance of his riches, He is strong in his mischiefs.’
Psalm 52:8	And I, as a green olive in the house of God, I have trusted in the kindness of God, To the age and for ever,
Psalm 52:9	I thank Thee to the age, because Thou hast done it, And I wait on Thy name for it is good before Thy saints!
Psalm 53:1	To the Overseer.—‘On a disease.’—An instruction, by David. A fool said in his heart, ‘There is no God.’ They have done corruptly, Yea, they have done abominable iniquity, There is none doing good.
Psalm 53:2	God from the heavens looked on the sons of men, To see if there be an understanding one, One seeking God.
Psalm 53:3	Every one went back, together they became filthy, There is none doing good—not even one.
Psalm 53:4	Have not workers of iniquity known, Those eating my people have eaten bread, God they have not called.
Psalm 53:5	There they feared a fear—there was no fear, For God hath scattered the bones of him Who is encamping against thee, Thou hast put to shame, For God hath despised them.
Psalm 53:6	Who doth give from Zion the salvation of Israel? When God turneth back to a captivity of His people, Jacob doth rejoice—Israel is glad!
Psalm 54:1	To the Overseer with stringed instruments.—An instruction, by David, in the coming in of the Ziphim, and they say to Saul, ‘Is not David hiding himself with us?’ O God, by Thy name save me, and by Thy might judge me.
Psalm 54:2	O God, hear my prayer, Give ear to the sayings of my mouth,
Psalm 54:3	For strangers have risen up against me And terrible ones have sought my soul, They have not set God before them. Selah.
Psalm 54:4	Lo, God is a helper to me, The Lord is with those supporting my soul,
Psalm 54:5	Turn back doth the evil thing to mine enemies, In Thy truth cut them off.
Psalm 54:6	With a free will-offering I sacrifice to Thee, I thank Thy name, O Jehovah, for it is good,
Psalm 54:7	For, from all adversity He delivered me, And on mine enemies hath mine eye looked!
Psalm 55:1	To the Overseer with stringed instruments.—An instruction, by David. Give ear, O God, to my prayer, And hide not from my supplication.
Psalm 55:2	Attend to me, and answer me, I mourn in my meditation, and make a noise,
Psalm 55:3	Because of the voice of an enemy, Because of the oppression of the wicked, For they cause sorrow to move against me, And in anger they hate me.
Psalm 55:4	My heart is pained within me, And terrors of death have fallen on me.
Psalm 55:5	Fear and trembling come in to me, And horror doth cover me.
Psalm 55:6	And I say, ‘Who doth give to me a pinion as a dove? I fly away and rest,
Psalm 55:7	Lo, I move far off, I lodge in a wilderness. Selah.
Psalm 55:8	I hasten escape for myself, From a rushing wind, from a whirlwind.
Psalm 55:9	Swallow up, O Lord, divide their tongue, For I saw violence and strife in a city.
Psalm 55:10	By day and by night they go round it, on its walls. Both iniquity and perverseness are in its midst,
Psalm 55:11	Mischiefs are in its midst. Fraud and deceit depart not from its street.
Psalm 55:12	For an enemy reproacheth me not, or I bear it, He who is hating me Hath not magnified himself against me, Or I hide from him.
Psalm 55:13	But thou, a man—as mine equal, My familiar friend, and mine acquaintance.
Psalm 55:14	When together we sweeten counsel, Into the house of God we walk in company.
Psalm 55:15	Desolations are upon them, They go down to Sheol—alive, For wickedness is in their dwelling, in their midst.
Psalm 55:16	I—to God I call, and Jehovah saveth me.
Psalm 55:17	Evening, and morning, and noon, I meditate, and make a noise, and He heareth my voice,
Psalm 55:18	He hath ransomed in peace my soul From him who is near to me, For with the multitude they were with me.
Psalm 55:19	God doth hear and afflict them, And He sitteth of old. Selah. Because they have no changes, and fear not God,
Psalm 55:20	He hath sent forth his hands against his well-wishers, He hath polluted his covenant.
Psalm 55:21	Sweeter than honey hath been his mouth, And his heart is war! Softer have been his words than oil, And they are drawn swords.
Psalm 55:22	Cast on Jehovah that which He hath given thee, And He doth sustain thee, He doth not suffer for ever the moving of the righteous.
Psalm 55:23	And Thou, O God, dost bring them down To a pit of destruction, Men of blood and deceit reach not to half their days, And I—I do trust in Thee!
Psalm 56:1	To the Overseer.—‘On the Dumb Dove far off.’—A secret treasure of David, in the Philistines’ taking hold of him in Gath. Favour me, O God, for man swallowed me up, All the day fighting he oppresseth me,
Psalm 56:2	Mine enemies have swallowed up all the day, For many are fighting against me, O most High,
Psalm 56:3	The day I am afraid I am confident toward Thee.
Psalm 56:4	In God I praise His word, in God I have trusted, I fear not what flesh doth to me.
Psalm 56:5	All the day they wrest my words, Concerning me all their thoughts are for evil,
Psalm 56:6	They assemble, they hide, they watch my heels, When they have expected my soul.
Psalm 56:7	By iniquity they escape, In anger the peoples put down, O God.
Psalm 56:8	My wandering Thou hast counted, Thou—place Thou my tear in Thy bottle, Are they not in Thy book?
Psalm 56:9	Then turn back do mine enemies in the day I call. This I have known, that God is for me.
Psalm 56:10	In God I praise the word, In Jehovah I praise the word.
Psalm 56:11	In God I trusted, I fear not what man doth to me,
Psalm 56:12	On me, O God, are Thy vows, I repay thank-offerings to Thee.
Psalm 56:13	For Thou hast delivered my soul from death, Dost Thou not my feet from falling? To walk habitually before God in the light of the living!
Psalm 57:1	To the Overseer.—‘Destroy not.’—A secret treasure of David, in his fleeing from the face of Saul into a cave. Favour me, O God, favour me, For in Thee is my soul trusting, And in the shadow of Thy wings I trust, Until the calamities pass over.
Psalm 57:2	I call to God Most High, To God who is perfecting for me.
Psalm 57:3	He sendeth from the heaven, and saveth me, He reproached—who is panting after me. Selah. God sendeth forth His kindness and His truth.
Psalm 57:4	My soul is in the midst of lions, I lie down among flames—sons of men, Their teeth are a spear and arrows, And their tongue a sharp sword.
Psalm 57:5	Be Thou exalted above the heavens, O God, Above all the earth Thine honour.
Psalm 57:6	A net they have prepared for my steps, Bowed down hath my soul, They have digged before me a pit, They have fallen into its midst. Selah.
Psalm 57:7	Prepared is my heart, O God, Prepared is my heart, I sing and praise.
Psalm 57:8	Awake, mine honour, awake, psaltery and harp, I awake the morning dawn.
Psalm 57:9	I thank Thee among the peoples, O Lord, I praise Thee among the nations.
Psalm 57:10	For great unto the heavens is Thy kindness, And unto the clouds Thy truth.
Psalm 57:11	Be thou exalted above the heavens, O God. Above all the earth Thine honour!
Psalm 58:1	To the Overseer.—‘Destroy not.’—A secret treasure, by David. Is it true, O dumb one, righteously ye speak? Uprightly ye judge, O sons of men?
Psalm 58:2	Even in heart ye work iniquities, In the land the violence of your hands ye ponder.
Psalm 58:3	The wicked have been estranged from the womb, They have erred from the belly, speaking lies.
Psalm 58:4	Their poison is as poison of a serpent, As a deaf asp shutting its ear,
Psalm 58:5	Which hearkeneth not to the voice of whisperers, A charmer of charms most skilful.
Psalm 58:6	O God, break their teeth in their mouth, The jaw-teeth of young lions break down, O Jehovah.
Psalm 58:7	They are melted as waters, They go up and down for themselves, His arrow proceedeth as they cut themselves off.
Psalm 58:8	As a snail that melteth he goeth on, As an untimely birth of a woman, They have not seen the sun.
Psalm 58:9	Before your pots discern the bramble, As well the raw as the heated He whirleth away.
Psalm 58:10	The righteous rejoiceth that he hath seen vengeance, His steps he washeth in the blood of the wicked.
Psalm 58:11	And man saith: ‘Surely fruit is for the righteous: Surely there is a God judging in the earth!’
Psalm 59:1	To the Overseer.—‘Destroy not,’ by David.—A secret treasure, in Saul’s sending, and they watch the house to put him to death. Deliver me from mine enemies, O my God, From my withstanders set me on high.
Psalm 59:2	Deliver me from workers of iniquity, And from men of blood save me.
Psalm 59:3	For, lo, they laid wait for my soul, Assembled against me are strong ones, Not my transgression nor my sin, O Jehovah.
Psalm 59:4	Without punishment they run and prepare themselves, Stir up to meet me, and see.
Psalm 59:5	And Thou, Jehovah, God of Hosts, God of Israel, Awake to inspect all the nations. Favour not any treacherous dealers of iniquity. Selah.
Psalm 59:6	They turn back at evening, They make a noise like a dog, And go round about the city.
Psalm 59:7	Lo, they belch out with their mouths, Swords are in their lips, for ‘Who heareth?’
Psalm 59:8	And Thou, O Jehovah dost laugh at them, Thou dost mock at all the nations.
Psalm 59:9	O my Strength, unto Thee I take heed, For God is my tower—the God of my kindness.
Psalm 59:10	God doth go before me, He causeth me to look on mine enemies.
Psalm 59:11	Slay them not, lest my people forget, Shake them by Thy strength, And bring them down, O Lord our shield.
Psalm 59:12	The sin of their mouth is a word of their lips, And they are captured in their pride, And from the curse and lying they recount.
Psalm 59:13	Consume in fury, consume and they are not, And they know that God is ruling in Jacob, To the ends of the earth. Selah.
Psalm 59:14	And they turn back at evening, They make a noise like a dog, And they go round about the city.
Psalm 59:15	They—they wander for food, If they are not satisfied—then they murmur.
Psalm 59:16	And I—I sing of Thy strength, And I sing at morn of Thy kindness, For thou hast been a tower to me, And a refuge for me in a day of adversity.
Psalm 59:17	O my Strength, unto Thee I sing praise, For God is my tower, the God of my kindness!
Psalm 60:1	To the Overseer.—‘Concerning the Lily of Testimony,’ a secret treasure of David, to teach, in his striving with Aram-Naharaim, and with Aram-Zobah, and Joab turneth back and smiteth Edom in the valley of Salt—twelve thousand. O God, Thou hadst cast us off, Thou hadst broken us—hadst been angry!—Thou dost turn back to us.
